Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
PESA,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Best Sortino,4.98,0.21,4.02
PESA,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Max Return,3.0,0.55,11.44
e-MOEA,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,1.99,0.06,1.12
e-MOEA,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,4.83,0.14,2.81
e-MOEA,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.25,0.45,9.25
e-MOEA,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,4.38,-0.05,-1.16
e-MOEA,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Best Sortino,4.18,0.01,-0.03
e-MOEA,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Max Return,9.46,-0.46,-9.01
e-MOEA,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Min MDD,5.13,-0.16,-3.22
e-MOEA,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.89,0.19,3.85
e-MOEA,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,2.92,0.21,4.14
e-MOEA,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,2.71,0.04,0.8
e-MOEA,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,5.6,-0.06,-1.36
e-MOEA,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,3.49,0.02,0.29
e-MOEA,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,3.69,0.07,1.27
e-MOEA,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Best Sortino,3.84,0.09,1.55
e-MOEA,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Max Return,12.08,-0.27,-5.8
e-MOEA,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Min MDD,3.16,0.14,2.77
e-MOEA,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Best Sortino,4.59,0.14,2.48
e-MOEA,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Max Return,4.74,0.21,4.08
e-MOEA,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Min MDD,2.83,0.21,4.1
e-MOEA,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Best Sortino,3.38,0.32,6.43
e-MOEA,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Max Return,3.0,0.55,11.44
